t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
1078,0,0.0,80,158,0.06446886446886448,0.12732600732600732,-0.528,0.336,-8.0,0
1097,0,0.0,84,157,0.06769230769230769,0.12652014652014654,-0.528,0.336,-8.0,0
1115,0,0.0,87,161,0.0701098901098901,0.12974358974358974,-0.528,0.336,-8.0,0
1134,0,0.0,85,162,0.0684981684981685,0.13054945054945055,-0.528,0.336,-8.0,0
1170,29,0.12196276700683267,80,154,0.06446886446886448,0.1241025641025641,-0.528,0.336,-8.0,1
1207,84,0.3532714630542739,86,160,0.0693040293040293,0.12893772893772895,-0.504,0.344,-8.0,1
1244,146,0.6140194476895714,85,158,0.0684981684981685,0.12732600732600732,-0.464,0.344,-8.0,1
1281,210,0.8831786576356848,80,155,0.06446886446886448,0.12490842490842491,-0.464,0.344,-8.0,1
1318,275,1.1565434802372063,80,162,0.06446886446886448,0.13054945054945055,-0.472,0.344,-8.0,1
1355,339,1.4257026901833199,68,159,0.05479853479853479,0.1281318681318681,-0.48,0.344,-8.0,1
1392,404,1.6990675127848414,78,159,0.06285714285714285,0.1281318681318681,-0.48,0.344,-8.0,1
1429,468,1.968226722730955,74,160,0.05963369963369963,0.12893772893772895,-0.48,0.344,-8.0,1
1466,534,2.245797157987884,65,160,0.05238095238095238,0.12893772893772895,-0.48,0.344,-8.0,1
1503,597,2.5107507552785897,67,158,0.05399267399267399,0.12732600732600732,-0.48,0.344,-8.0,1
1540,661,2.7799099652247032,70,160,0.05641025641025641,0.12893772893772895,-0.48,0.344,-8.0,1
1577,724,3.044863562515409,64,159,0.051575091575091575,0.1281318681318681,-0.48,0.344,-8.0,1
1614,787,3.3098171598061144,66,155,0.05318681318681318,0.12490842490842491,-0.48,0.344,-8.0,1
1651,849,3.5705651444414115,68,149,0.05479853479853479,0.12007326007326007,-0.488,0.344,-8.0,1
1688,912,3.835518741732117,71,144,0.05721611721611721,0.11604395604395604,-0.488,0.344,-8.0,1
1725,974,4.096266726367414,71,137,0.05721611721611721,0.1104029304029304,-0.488,0.336,-8.0,1
1762,1035,4.352809098347304,78,129,0.06285714285714285,0.10395604395604395,-0.48,0.336,-8.0,1
1799,1096,4.609351470327193,75,123,0.06043956043956044,0.09912087912087912,-0.488,0.344,-8.0,1
1836,1156,4.861688229651675,74,122,0.05963369963369963,0.09831501831501831,-0.488,0.344,-8.0,1
1873,1215,5.109819376320748,60,126,0.04835164835164835,0.10153846153846152,-0.496,0.344,-8.0,1
1910,1274,5.357950522989821,76,112,0.06124542124542124,0.09025641025641025,-0.52,0.336,-8.0,1
1947,1333,5.606081669658895,80,103,0.06446886446886448,0.08300366300366299,-0.56,0.328,-8.0,1
1984,1391,5.85000720367256,80,98,0.06446886446886448,0.07897435897435896,-0.56,0.32,-8.0,1
2021,1448,6.089727125030818,89,98,0.07172161172161172,0.07897435897435896,-0.544,0.312,-8.0,1
2059,1505,6.329447046389075,85,85,0.0684981684981685,0.0684981684981685,-0.52,0.296,-8.0,1
2096,1562,6.569166967747332,88,87,0.0709157509157509,0.0701098901098901,-0.512,0.288,-8.0,1
2133,1618,6.804681276450181,80,75,0.06446886446886448,0.06043956043956044,-0.512,0.28,-8.0,1
2170,1674,7.040195585153031,90,80,0.07252747252747253,0.06446886446886448,-0.52,0.272,-8.0,1
2207,1728,7.267298668545064,83,76,0.06688644688644688,0.06124542124542124,-0.544,0.264,-8.0,1
2244,1783,7.498607364592505,91,75,0.07333333333333333,0.06043956043956044,-0.568,0.256,-8.0,1
2281,1837,7.725710447984539,82,58,0.06608058608058608,0.04673992673992673,-0.608,0.248,-8.0,1
2318,1890,7.948607918721164,86,63,0.0693040293040293,0.05076923076923076,-0.624,0.256,-8.0,1
2355,1944,8.175711002113196,51,67,0.041098901098901096,0.05399267399267399,-0.792,0.32,-8.0,1
2392,1997,8.398608472849823,48,64,0.038681318681318674,0.051575091575091575,-0.904,0.32,-8.0,1
2429,2050,8.621505943586447,51,48,0.041098901098901096,0.038681318681318674,-1.0,0.32,-8.0,1
2466,2102,8.840197801667664,58,65,0.04673992673992673,0.05238095238095238,-1.048,0.32,-8.0,1
2503,2153,9.054684047093474,55,53,0.044322344322344324,0.0427106227106227,-1.088,0.32,-8.0,1
2540,2203,9.264964679863875,61,64,0.049157509157509154,0.051575091575091575,-1.12,0.32,-8.0,1
2577,2253,9.475245312634277,63,75,0.05076923076923076,0.06043956043956044,-1.176,0.32,-8.0,1
2614,2301,9.677114720093861,59,64,0.047545787545787546,0.051575091575091575,-1.24,0.32,-8.0,1
2651,2350,9.883189740208854,64,54,0.051575091575091575,0.04351648351648351,-1.248,0.32,-8.0,1
2688,2400,10.093470372979255,59,62,0.047545787545787546,0.04996336996336996,-1.208,0.32,-8.0,1
2725,2447,10.291134167783433,57,68,0.04593406593406593,0.05479853479853479,-1.216,0.32,-8.0,1
2762,2491,10.476181124621386,52,55,0.0419047619047619,0.044322344322344324,-1.312,0.32,-8.0,1
2799,2533,10.652816856148522,55,73,0.044322344322344324,0.058827838827838826,-1.384,0.32,-8.0,1
2836,2575,10.829452587675659,64,51,0.051575091575091575,0.041098901098901096,-1.4,0.32,-8.0,1
2873,2618,11.010293931858204,58,64,0.04673992673992673,0.051575091575091575,-1.432,0.312,-8.0,1
2910,2661,11.191135276040749,53,61,0.0427106227106227,0.049157509157509154,-1.496,0.312,-8.0,1
2947,2703,11.367771007567887,56,65,0.045128205128205125,0.05238095238095238,-1.552,0.312,-8.0,1
2984,2745,11.544406739095024,66,78,0.05318681318681318,0.06285714285714285,-1.608,0.312,-8.0,1
3021,2786,11.716836857966753,78,65,0.06285714285714285,0.05238095238095238,-1.704,0.304,-8.0,1
3058,2826,11.885061364183073,74,70,0.05963369963369963,0.05641025641025641,-1.864,0.296,-8.0,1
3095,2865,12.049080257743986,74,67,0.05963369963369963,0.05399267399267399,-1.96,0.296,-8.0,1
3132,2904,12.213099151304899,70,48,0.05641025641025641,0.038681318681318674,-2.072,0.288,-8.0,1
3169,2941,12.368706819554996,59,49,0.047545787545787546,0.03948717948717948,-2.192,0.288,-8.0,1
3206,2978,12.524314487805093,57,64,0.04593406593406593,0.051575091575091575,-2.36,0.28,-8.0,1
3243,3015,12.67992215605519,67,79,0.05399267399267399,0.06366300366300366,-2.488,0.272,-8.0,1
3280,3051,12.831324211649878,66,74,0.05318681318681318,0.05963369963369963,-2.576,0.264,-8.0,1
3318,3089,12.991137492555383,65,68,0.05238095238095238,0.05479853479853479,-2.72,0.256,-8.0,1
3355,3126,13.14674516080548,70,69,0.05641025641025641,0.055604395604395604,-2.848,0.256,-8.0,1
3392,3164,13.306558441710985,73,66,0.058827838827838826,0.05318681318681318,-2.928,0.248,-8.0,1
3429,3200,13.457960497305674,80,80,0.06446886446886448,0.06446886446886448,-3.08,0.24,-8.0,1
3466,3235,13.605156940244955,70,81,0.05641025641025641,0.06527472527472528,-3.256,0.224,-8.0,1
3503,3267,13.739736545218012,63,80,0.05076923076923076,0.06446886446886448,-3.384,0.208,-8.0,1
3540,3298,13.87011053753566,61,82,0.049157509157509154,0.06608058608058608,-3.456,0.2,-8.0,1
3577,3329,14.000484529853308,56,80,0.045128205128205125,0.06446886446886448,-3.504,0.2,-8.0,1
3614,3359,14.126652909515549,49,81,0.03948717948717948,0.06527472527472528,-3.6,0.192,-8.0,1
3651,3389,14.25282128917779,62,84,0.04996336996336996,0.06769230769230769,-3.664,0.192,-8.0,1
3688,3419,14.378989668840031,51,82,0.041098901098901096,0.06608058608058608,-3.72,0.184,-8.0,1
3725,3448,14.500952435846864,44,89,0.03545787545787545,0.07172161172161172,-3.832,0.176,-8.0,1
3762,3477,14.622915202853696,50,67,0.040293040293040296,0.05399267399267399,-3.992,0.152,-8.0,1
3799,3507,14.749083582515937,49,89,0.03948717948717948,0.07172161172161172,-4.12,0.144,-8.0,1
3838,3527,14.833195835624098,51,99,0.041098901098901096,0.07978021978021978,-4.136,0.144,-8.0,1
3855,3529,14.841607060934914,55,103,0.044322344322344324,0.08300366300366299,-4.176,0.136,-8.0,1
3874,3530,14.845812673590322,45,105,0.03626373626373627,0.08461538461538462,-4.248,0.128,-8.0,1
3892,3531,14.85001828624573,48,101,0.038681318681318674,0.08139194139194138,-4.304,0.12,-8.0,1
3911,3532,14.854223898901138,48,91,0.038681318681318674,0.07333333333333333,-4.328,0.112,-8.0,1
3930,3533,14.858429511556546,48,97,0.038681318681318674,0.07816849816849816,-4.32,0.112,-8.0,1
3948,3534,14.862635124211954,39,107,0.031428571428571424,0.08622710622710622,-4.288,0.12,-8.0,1
3967,3534,14.862635124211954,41,110,0.03304029304029304,0.08864468864468865,-4.256,0.128,-8.0,1
3985,3535,14.866840736867362,41,112,0.03304029304029304,0.09025641025641025,-4.264,0.128,-8.0,1
4004,3535,14.866840736867362,39,110,0.031428571428571424,0.08864468864468865,-4.264,0.128,-8.0,1
4022,3535,14.866840736867362,48,112,0.038681318681318674,0.09025641025641025,-4.256,0.128,-8.0,1
4041,3535,14.866840736867362,43,112,0.03465201465201465,0.09025641025641025,-4.232,0.136,-8.0,1
4059,3535,14.866840736867362,38,112,0.03062271062271062,0.09025641025641025,-4.208,0.136,-8.0,1
4078,3535,14.866840736867362,41,113,0.03304029304029304,0.09106227106227106,-4.2,0.136,-8.0,1
4096,3535,14.866840736867362,46,112,0.03706959706959707,0.09025641025641025,-4.208,0.144,-8.0,1
4115,3535,14.866840736867362,33,112,0.02659340659340659,0.09025641025641025,-4.224,0.136,-8.0,1
4133,3535,14.866840736867362,36,113,0.02901098901098901,0.09106227106227106,-4.232,0.136,-8.0,1
4152,3535,14.866840736867362,37,115,0.029816849816849816,0.09267399267399268,-4.224,0.136,-8.0,1
