t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
2,0,0.0,38,173,0.03062271062271062,0.1394139194139194,-0.104,0.376,-8.0,0
12,0,0.0,44,174,0.03545787545787545,0.1402197802197802,-0.104,0.376,-8.0,0
24,0,0.0,44,175,0.03545787545787545,0.14102564102564102,-0.104,0.376,-8.0,0
43,0,0.0,44,175,0.03545787545787545,0.14102564102564102,-0.104,0.376,-8.0,0
61,0,0.0,38,176,0.03062271062271062,0.1418315018315018,-0.104,0.376,-8.0,0
80,0,0.0,43,177,0.03465201465201465,0.14263736263736265,-0.104,0.376,-8.0,0
98,0,0.0,45,170,0.03626373626373627,0.136996336996337,-0.104,0.376,-8.0,0
117,0,0.0,47,175,0.037875457875457874,0.14102564102564102,-0.104,0.376,-8.0,0
135,0,0.0,48,176,0.038681318681318674,0.1418315018315018,-0.104,0.376,-8.0,0
154,0,0.0,41,176,0.03304029304029304,0.1418315018315018,-0.104,0.376,-8.0,0
172,0,0.0,45,176,0.03626373626373627,0.1418315018315018,-0.104,0.376,-8.0,0
191,0,0.0,47,176,0.037875457875457874,0.1418315018315018,-0.104,0.376,-8.0,0
210,0,0.0,41,166,0.03304029304029304,0.13377289377289375,-0.104,0.376,-8.0,0
228,0,0.0,43,174,0.03465201465201465,0.1402197802197802,-0.104,0.376,-8.0,0
246,0,0.0,42,176,0.033846153846153845,0.1418315018315018,-0.104,0.376,-8.0,0
265,0,0.0,41,175,0.03304029304029304,0.14102564102564102,-0.104,0.376,-8.0,0
283,0,0.0,45,176,0.03626373626373627,0.1418315018315018,-0.104,0.376,-8.0,0
302,0,0.0,43,175,0.03465201465201465,0.14102564102564102,-0.104,0.376,-8.0,0
320,0,0.0,45,176,0.03626373626373627,0.1418315018315018,-0.104,0.376,-8.0,0
339,0,0.0,42,174,0.033846153846153845,0.1402197802197802,-0.104,0.376,-8.0,0
