t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
1,0,0.0,16,123,0.012893772893772894,0.09912087912087912,-0.416,0.368,-8.0,0
12,0,0.0,18,118,0.014505494505494505,0.09509157509157509,-0.416,0.368,-8.0,0
22,0,0.0,16,115,0.012893772893772894,0.09267399267399268,-0.416,0.368,-8.0,0
32,0,0.0,16,117,0.012893772893772894,0.09428571428571428,-0.416,0.368,-8.0,0
47,0,0.0,13,117,0.010476190476190476,0.09428571428571428,-0.416,0.368,-8.0,0
66,0,0.0,17,123,0.013699633699633697,0.09912087912087912,-0.416,0.368,-8.0,0
84,0,0.0,16,118,0.012893772893772894,0.09509157509157509,-0.416,0.368,-8.0,0
103,0,0.0,18,119,0.014505494505494505,0.09589743589743589,-0.416,0.368,-8.0,0
121,0,0.0,16,122,0.012893772893772894,0.09831501831501831,-0.416,0.368,-8.0,0
140,0,0.0,18,127,0.014505494505494505,0.10234432234432234,-0.416,0.368,-8.0,0
158,0,0.0,16,127,0.012893772893772894,0.10234432234432234,-0.416,0.368,-8.0,0
177,0,0.0,19,121,0.01531135531135531,0.09750915750915749,-0.416,0.368,-8.0,0
195,0,0.0,17,122,0.013699633699633697,0.09831501831501831,-0.416,0.368,-8.0,0
214,0,0.0,16,122,0.012893772893772894,0.09831501831501831,-0.416,0.368,-8.0,0
232,0,0.0,14,127,0.011282051282051281,0.10234432234432234,-0.416,0.368,-8.0,0
251,0,0.0,16,121,0.012893772893772894,0.09750915750915749,-0.416,0.368,-8.0,0
270,0,0.0,17,126,0.013699633699633697,0.10153846153846152,-0.416,0.368,-8.0,0
288,0,0.0,19,126,0.01531135531135531,0.10153846153846152,-0.416,0.368,-8.0,0
307,0,0.0,16,124,0.012893772893772894,0.09992673992673992,-0.416,0.368,-8.0,0
325,0,0.0,19,124,0.01531135531135531,0.09992673992673992,-0.416,0.368,-8.0,0
344,0,0.0,18,122,0.014505494505494505,0.09831501831501831,-0.416,0.368,-8.0,0
362,0,0.0,18,127,0.014505494505494505,0.10234432234432234,-0.416,0.368,-8.0,0
