t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
1076,0,0.0,22,159,0.017728937728937726,0.1281318681318681,-0.112,0.44,-8.0,0
1095,0,0.0,27,163,0.021758241758241755,0.13135531135531134,-0.104,0.44,-8.0,0
1113,0,0.0,31,167,0.02498168498168498,0.1345787545787546,-0.104,0.44,-8.0,0
1132,0,0.0,26,165,0.02095238095238095,0.13296703296703297,-0.096,0.44,-8.0,0
1168,28,0.11775715435142464,21,158,0.016923076923076923,0.12732600732600732,-0.088,0.44,-8.0,1
1205,83,0.3490658503988659,29,161,0.023369963369963366,0.12974358974358974,-0.08,0.44,-8.0,1
1242,143,0.6014026097233472,34,158,0.027399267399267395,0.12732600732600732,-0.056,0.448,-8.0,1
1279,204,0.8579449817032367,23,164,0.018534798534798533,0.13216117216117215,-0.032,0.448,-8.0,1
1316,264,1.1102817410277181,37,162,0.029816849816849816,0.13054945054945055,-0.04,0.448,-8.0,1
1353,323,1.3584128876967914,39,159,0.031428571428571424,0.1281318681318681,-0.04,0.448,-8.0,1
1390,384,1.6149552596766807,26,151,0.02095238095238095,0.12168498168498168,-0.032,0.448,-8.0,1
1427,442,1.8588807936903462,29,159,0.023369963369963366,0.1281318681318681,-0.024,0.448,-8.0,1
1464,499,2.0986007150486037,27,153,0.021758241758241755,0.1232967032967033,-0.008,0.448,-8.0,1
1501,555,2.334115023751453,29,145,0.023369963369963366,0.11684981684981685,0.0,0.448,-8.0,1
1538,611,2.5696293324543023,25,141,0.020146520146520148,0.11362637362637361,0.008,0.448,-8.0,1
1575,667,2.8051436411571515,18,131,0.014505494505494505,0.10556776556776555,0.016,0.448,-8.0,1
1612,723,3.040657949860001,31,121,0.02498168498168498,0.09750915750915749,0.032,0.448,-8.0,1
1649,778,3.271966645907442,28,121,0.022564102564102562,0.09750915750915749,0.032,0.456,-8.0,1
1686,833,3.503275341954883,35,105,0.028205128205128206,0.08461538461538462,0.032,0.456,-8.0,1
1723,887,3.7303784253469163,32,100,0.025787545787545788,0.08058608058608059,0.04,0.456,-8.0,1
1760,941,3.9574815087389497,21,106,0.016923076923076923,0.0854212454212454,0.032,0.456,-8.0,1
1797,995,4.1845845921309825,27,105,0.021758241758241755,0.08461538461538462,0.016,0.456,-8.0,1
1834,1049,4.411687675523016,43,111,0.03465201465201465,0.08945054945054944,-0.024,0.456,-8.0,1
1871,1102,4.634585146259641,29,111,0.023369963369963366,0.08945054945054944,-0.088,0.456,-8.0,1
1908,1154,4.853277004340859,30,115,0.024175824175824177,0.09267399267399268,-0.152,0.456,-8.0,1
1945,1204,5.06355763711126,32,112,0.025787545787545788,0.09025641025641025,-0.208,0.456,-8.0,1
1982,1254,5.273838269881661,30,112,0.024175824175824177,0.09025641025641025,-0.248,0.456,-8.0,1
2019,1303,5.479913289996654,26,107,0.02095238095238095,0.08622710622710622,-0.312,0.448,-8.0,1
2056,1352,5.6859883101116475,17,113,0.013699633699633697,0.09106227106227106,-0.352,0.448,-8.0,1
2093,1401,5.89206333022664,27,95,0.021758241758241755,0.07655677655677656,-0.416,0.448,-8.0,1
2130,1449,6.093932737686226,32,92,0.025787545787545788,0.07413919413919413,-0.464,0.448,-8.0,1
2167,1495,6.287390919834994,23,91,0.018534798534798533,0.07333333333333333,-0.504,0.448,-8.0,1
2204,1540,6.476643489328356,32,113,0.025787545787545788,0.09106227106227106,-0.528,0.448,-8.0,1
2241,1585,6.665896058821716,31,102,0.02498168498168498,0.08219780219780219,-0.552,0.44,-8.0,1
2278,1630,6.855148628315078,27,94,0.021758241758241755,0.07575091575091575,-0.592,0.44,-8.0,1
2315,1676,7.048606810463847,13,112,0.010476190476190476,0.09025641025641025,-0.608,0.44,-8.0,1
2352,1721,7.237859379957207,17,91,0.013699633699633697,0.07333333333333333,-0.608,0.44,-8.0,1
2389,1765,7.422906336795161,19,113,0.01531135531135531,0.09106227106227106,-0.616,0.44,-8.0,1
2426,1808,7.603747680977706,14,116,0.011282051282051281,0.09347985347985346,-0.6,0.44,-8.0,1
2463,1851,7.78458902516025,16,114,0.012893772893772894,0.09186813186813186,-0.584,0.44,-8.0,1
2500,1893,7.961224756687388,20,98,0.01611721611721612,0.07897435897435896,-0.536,0.448,-8.0,1
2538,1934,8.133654875559117,6,95,0.004835164835164834,0.07655677655677656,-0.504,0.44,-8.0,1
2575,1974,8.301879381775437,16,93,0.012893772893772894,0.07494505494505493,-0.496,0.44,-8.0,1
2612,2013,8.46589827533635,18,107,0.014505494505494505,0.08622710622710622,-0.496,0.44,-8.0,1
2649,2052,8.629917168897263,5,99,0.00402930402930403,0.07978021978021978,-0.496,0.44,-8.0,1
2686,2091,8.793936062458176,3,93,0.002417582417582417,0.07494505494505493,-0.472,0.448,-8.0,1
2723,2130,8.957954956019089,2,92,0.0016117216117216117,0.07413919413919413,-0.44,0.448,-8.0,1
2760,2171,9.130385074890818,3,87,0.002417582417582417,0.0701098901098901,-0.392,0.448,-8.0,1
2797,2211,9.298609581107138,0,86,0.0,0.0693040293040293,-0.344,0.448,-8.0,1
2834,2251,9.466834087323459,16,93,0.012893772893772894,0.07494505494505493,-0.32,0.448,-8.0,1
2871,2290,9.630852980884372,16,88,0.012893772893772894,0.0709157509157509,-0.304,0.448,-8.0,1
2908,2327,9.786460649134469,0,87,0.0,0.0701098901098901,-0.296,0.448,-8.0,1
2945,2364,9.942068317384566,16,80,0.012893772893772894,0.06446886446886448,-0.288,0.448,-8.0,1
2982,2402,10.101881598290072,12,80,0.009670329670329669,0.06446886446886448,-0.272,0.44,-8.0,1
3019,2440,10.261694879195577,6,80,0.004835164835164834,0.06446886446886448,-0.264,0.44,-8.0,1
3056,2479,10.42571377275649,10,89,0.00805860805860806,0.07172161172161172,-0.272,0.44,-8.0,1
3093,2517,10.585527053661995,10,74,0.00805860805860806,0.05963369963369963,-0.288,0.44,-8.0,1
3130,2556,10.749545947222908,1,66,0.0008058608058608059,0.05318681318681318,-0.344,0.44,-8.0,1
3167,2594,10.909359228128412,2,69,0.0016117216117216117,0.055604395604395604,-0.568,0.432,-8.0,1
3204,2633,11.073378121689325,3,86,0.002417582417582417,0.0693040293040293,-0.752,0.424,-8.0,1
3241,2671,11.23319140259483,0,80,0.0,0.06446886446886448,-0.848,0.416,-8.0,1
3278,2709,11.393004683500335,0,68,0.0,0.05479853479853479,-0.912,0.416,-8.0,1
3315,2746,11.548612351750432,13,64,0.010476190476190476,0.051575091575091575,-0.968,0.408,-8.0,1
3352,2781,11.695808794689713,0,48,0.0,0.038681318681318674,-1.024,0.408,-8.0,1
3389,2815,11.838799624973586,0,44,0.0,0.03545787545787545,-1.144,0.408,-8.0,1
3426,2851,11.990201680568275,12,48,0.009670329670329669,0.038681318681318674,-1.504,0.392,-8.0,1
3463,2885,12.133192510852146,6,39,0.004835164835164834,0.031428571428571424,-1.824,0.376,-8.0,1
3500,2918,12.27197772848061,13,37,0.010476190476190476,0.029816849816849816,-2.088,0.36,-8.0,1
3539,2940,12.364501206899588,16,57,0.012893772893772894,0.04593406593406593,-2.28,0.336,-8.0,1
3556,2941,12.368706819554996,0,45,0.0,0.03626373626373627,-2.392,0.32,-8.0,1
3575,2942,12.372912432210404,14,38,0.011282051282051281,0.03062271062271062,-2.504,0.304,-8.0,1
3593,2943,12.377118044865812,15,37,0.012087912087912088,0.029816849816849816,-2.576,0.296,-8.0,1
3612,2943,12.377118044865812,11,46,0.008864468864468863,0.03706959706959707,-2.616,0.288,-8.0,1
